Reference,Value,Distributor,MPN,Qty,Price
"U6,U7,U8",MAX31850KATB+T,DigiKey,MAX31850KATB+T,3,
U4,AP63357QZV-7,DigiKey,AP63357QZV-7,1,
U3,MPXV7002DP,DigiKey,  MPXV7002DP,1,
U2,AZ1117IH-5.0TRG1,DigiKey,  AZ1117IH-5.0TRG1,1,
U1,DS18B20+,DigiKey,DS18B20+,1,
R_Shunt1,0.05,DigiKey,WSHP2818R0500FEA,1,
R12,R,-,-,1,
R11,100k,DigiKey,RC0805FR-07100KL,1,
R10,300k,DigiKey,RC0805JR-07300KL,1,
R8,41.2k,DigiKey,RC0805FR-0741K2L,1,
R7,220k,DigiKey,RC0805JR-07220KL,1,
"R6,R9",5.1K,DigiKey,RC0805FR-075K1L,2,
"R4,R5",1K,DigiKey,RC0805FR-071KL,2,
"R3,R13,R14,R15",4.7k,DigiKey,RC0805FR-074K7L,4,
R2,62,DigiKey,RC0805FR-0762RL,1,
R1,150,DigiKey,RC0805FR-07150RL,1,
L1,6.8uH,DigiKey, SRN8040TA-6R8M,1,
"J7,J8",Screw_Terminal_01x06,DigiKey,  OSTTE060104,2,
J6,GPIO,DigiKey,901471104,1,
J5,SPI,DigiKey,901471103,1,
J4,Serial,DigiKey,901471102,1,
J3,I2C,DigiKey,901471102,1,
J2,POWER,DigiKey,901471104,1,
J1,XT60PW-M,TME,XT60PW-M,1,None
IC1,LT1001CS8#PBF,DigiKey,  LT1001CS8#PBF,1,
HS1,Heatsink,Sparkfun, PRT-18704,1,
F1,500mA,DigiKey,  1206L050/15YR,1,
D4,BAT165AX,DigiKey,BAT165AX,1,
D3,SPHV12-01ETG-C,DigiKey,SPHV12-01ETG-C,1,
D2,CMD17-21VGD/TR8,DigiKey,CMD17-21VGD/TR8,1,
D1,CMD17-21VRD/TR8,DigiKey,CMD17-21VRD/TR8,1,
C7,47pF,DigiKey,CC0805JRNPO9BN470,1,
"C6,C14,C15,C16",0.1uF,DigiKey,CC0805JRX7R9BB104,4,
C5,470pF,DigiKey,CC0805JRNPO9BN471,1,
C4,1.0uF,DigiKey,  CC0805JKX7R9BB105,1,
"C3,C11,C12,C13",0.01uF,DigiKey,CC0805JRX7R9BB103,4,
"C2,C8",10uF,DigiKey,CC0805KKX5R8BB106,2,
"C1,C9,C10",22uF,DigiKey,CC0805MKX5R8BB226,3,
BT1,Battery_Cell,DigiKey,1060,1,
